City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Rocha,UY,73.62,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
280,Mackay,AU,71.69,broken clouds,-21.15,149.2,International Lodge Motel
282,Cap Malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
283,Awbari,LY,79.34,clear sky,26.5921,12.7805,فندق أوباري
288,Jagdalpur,IN,83.84,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
291,Tchibanga,GA,75.33,overcast clouds,-2.85,11.0333,
292,Jurado,CO,82.92,moderate rain,7.1053,-77.7641,
298,Amapa,BR,81.7,overcast clouds,1.0,-52.0,
302,Gualaquiza,EC,75.79,light rain,-3.4,-78.55,Hotel Merceditas
313,Porto Novo,BJ,83.28,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
314,Banda Aceh,ID,80.02,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
321,Mangai,CD,76.08,scattered clouds,-4.05,19.5333,
323,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
328,Bambanglipuro,ID,77.27,scattered clouds,-7.95,110.2833,Puri Brata
332,Coyah,GN,83.44,overcast clouds,9.75,-13.4167,Motel Canal+
337,Aloleng,PH,81.21,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
338,Sao Pedro Do Piaui,BR,82.99,overcast clouds,-5.9294,-42.7186,Pousada São Francisco
340,Honiara,SB,76.91,overcast clouds,-9.4333,159.95,Heritage Park Hotel
342,Itarema,BR,82.96,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
344,Mocuba,MZ,71.87,broken clouds,-16.8392,36.9856,Phama Lodge
346,Neiafu,TO,72.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
348,Saint-Pierre,RE,76.91,moderate rain,-21.3393,55.4781,Lindsey Hôtel
351,Pangoa,PE,80.17,overcast clouds,-12.1167,-73.0,
352,Safaga,EG,79.38,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
354,Chizhou,CN,70.84,clear sky,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
358,Padang,ID,78.04,light rain,-0.9492,100.3543,Mercure Padang
361,Bengkulu,ID,76.26,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
366,Kudahuvadhoo,MV,83.79,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
372,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
374,Mitsamiouli,KM,82.44,light rain,-11.3847,43.2844,Foyer ADM
375,Copperas Cove,US,81.55,broken clouds,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
377,Pangkalanbuun,ID,73.71,light rain,-2.6833,111.6167,Grand Kecubung Hotel
381,Hambantota,LK,78.6,overcast clouds,6.1241,81.1185,Bungalow 63
383,Pangai,TO,81.79,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
385,Klungkung,ID,77.68,broken clouds,-8.5333,115.4,Cegeng Lestari Guesthouse
386,Berbera,SO,82.71,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
389,Nokaneng,BW,76.8,broken clouds,-19.6667,22.2667,
393,Tuy Hoa,VN,72.41,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
400,Vanimo,PG,77.7,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
401,Belmonte,BR,83.23,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
402,Santa Vitoria Do Palmar,BR,75.49,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
407,Road Town,VG,81.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
408,Gamba,GA,78.44,light rain,-2.65,10.0,
409,Pundaguitan,PH,82.2,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
411,Kalemie,CD,73.02,light rain,-5.9475,29.1947,Mahobilali
416,Cape Canaveral,US,80.67,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
417,Loubomo,CG,73.0,overcast clouds,-4.1997,12.6739,La Dolisienne
419,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
420,Zarate,AR,72.03,overcast clouds,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
429,Phimai,TH,82.11,scattered clouds,15.2232,102.4947,Benya Guest House
433,Waling,NP,73.22,scattered clouds,27.9833,83.7667,Venus Hotel
434,Camargo,MX,78.87,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
436,Hueyapan,MX,75.38,overcast clouds,18.8667,-98.6667,Hotel San Antonio
446,Sibolga,ID,76.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
448,Curuca,BR,78.19,moderate rain,-0.7289,-47.8481,Hotel Curuça
451,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
452,Katherine,AU,75.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
454,Gaya,IN,83.68,broken clouds,24.7833,85.0,Hotel Viraat Inn Gaya
456,Mareeba,AU,72.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
458,Axim,GH,83.08,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
459,Idah,NG,81.54,light rain,7.1065,6.7342,Ubiga Hotel Idah
460,Abilene,US,80.28,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
462,Isangel,VU,79.48,few clouds,-19.55,169.2667,Tanna Lodge
466,Camana,PE,71.19,broken clouds,-16.6228,-72.7111,Hostal Morales
473,Morondava,MG,83.07,light rain,-20.2833,44.2833,La Case Bambou
474,Galesong,ID,73.42,few clouds,-5.3166,119.3661,Sapriadi Appy
475,Bernalillo,US,71.69,scattered clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
476,Chancay,PE,72.12,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
477,Bosobolo,CD,79.66,broken clouds,4.1833,19.9,
480,Poso,ID,77.04,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
482,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
492,Sampit,ID,73.35,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
493,Bayji,IQ,80.69,scattered clouds,34.9311,43.487,مروان /عدنان
495,Berberati,CF,79.41,overcast clouds,4.2612,15.7922,MAIRIE DE BERBERATI
496,Itoman,JP,73.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
503,Karratha,AU,80.51,clear sky,-20.7377,116.8463,ibis Styles Karratha
504,Waingapu,ID,76.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
506,Cockburn Town,TC,76.87,clear sky,21.4612,-71.1419,Osprey Beach Hotel
516,Poum,NC,78.82,clear sky,-20.2333,164.0167,
520,Lodja,CD,76.69,overcast clouds,-3.4833,23.4333,
525,Mbandaka,CD,75.36,overcast clouds,0.0487,18.2603,Guest House Epervier
527,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
528,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
530,Kampot,KH,75.25,scattered clouds,10.6167,104.1833,Two Moons Hotel
533,Dovers,VC,83.79,broken clouds,12.8833,-61.1833,Ocean Breeze
538,Ouadda,CF,78.49,light rain,8.0777,22.4007,
545,Caravelas,BR,81.75,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
