City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Chiredzi,ZW,-21.05,31.6667,73.89,72,89,1.79,overcast clouds
266,Manta,EC,-0.95,-80.7333,83.98,74,40,8.05,scattered clouds
267,Paramonga,PE,-10.6667,-77.8333,72.54,75,64,10.31,broken clouds
268,Pauini,BR,-7.7136,-66.9764,82.06,84,96,3.65,overcast clouds
269,Miles City,US,46.4083,-105.8406,40.17,48,20,5.75,few clouds
270,Rancho San Diego,US,32.7473,-116.9353,68.07,64,75,10.36,broken clouds
271,Omboue,GA,-1.5746,9.2618,79.07,88,37,6.87,light rain
272,Sitka,US,57.0531,-135.33,37.29,20,20,21.85,few clouds
273,Te Anau,NZ,-45.4167,167.7167,48.47,96,100,3.6,moderate rain
274,Rocha,UY,-34.4833,-54.3333,73.62,77,99,12.88,overcast clouds
275,Asbe Teferi,ET,9.0833,40.8667,63.48,73,47,5.57,scattered clouds
276,Megion,RU,61.0296,76.1136,33.82,98,61,5.23,broken clouds
277,Tessalit,ML,20.1986,1.0114,94.12,4,3,12.19,clear sky
278,Araouane,ML,18.9048,-3.5265,94.75,5,2,8.72,clear sky
279,Olafsvik,IS,64.8945,-23.7142,34.0,76,64,24.99,broken clouds
280,Mackay,AU,-21.15,149.2,71.69,80,75,9.86,broken clouds
281,Bay Roberts,CA,47.5999,-53.2648,38.05,88,100,7.0,overcast clouds
282,Cap Malheureux,MU,-19.9842,57.6142,75.47,82,9,7.0,light rain
283,Awbari,LY,26.5921,12.7805,79.34,14,3,11.14,clear sky
284,Aswan,EG,24.0934,32.907,92.03,10,0,21.12,clear sky
285,Krasnogorskoye,RU,52.2953,86.1979,30.11,84,13,3.33,few clouds
286,Vostok,RU,46.4856,135.8833,34.14,100,100,1.57,overcast clouds
287,Jumla,NP,29.2747,82.1838,51.98,73,12,3.11,few clouds
288,Jagdalpur,IN,19.0667,82.0333,83.84,43,90,10.0,overcast clouds
289,Camacha,PT,33.0833,-16.3333,62.02,63,40,16.11,scattered clouds
290,Bafoulabe,ML,13.8065,-10.8321,106.95,6,18,2.24,few clouds
291,Tchibanga,GA,-2.85,11.0333,75.33,92,91,2.89,overcast clouds
292,Jurado,CO,7.1053,-77.7641,82.92,81,100,4.65,moderate rain
293,Blyth,GB,55.1271,-1.5086,47.75,78,0,12.66,clear sky
